event_id,scenario_id,timestamp_local,distance_km,initial_soc
E0001,CAISO_PHEV_BALANCED,2026-01-01 00:00:00,0.5,0.55
E0002,CAISO_PHEV_BALANCED,2026-01-01 01:00:00,0.5,0.55
E0003,CAISO_PHEV_BALANCED,2026-01-01 02:00:00,0.5,0.55
E0004,CAISO_PHEV_BALANCED,2026-01-01 03:00:00,0.5,0.55
E0005,CAISO_PHEV_BALANCED,2026-01-01 04:00:00,0.5,0.55
E0006,CAISO_PHEV_BALANCED,2026-01-01 05:00:00,0.5,0.55
E0007,CAISO_PHEV_BALANCED,2026-01-01 06:00:00,0.5,0.55
E0008,CAISO_PHEV_BALANCED,2026-01-01 07:00:00,8.0,0.55
E0009,CAISO_PHEV_BALANCED,2026-01-01 08:00:00,8.0,0.55
E0010,CAISO_PHEV_BALANCED,2026-01-01 09:00:00,8.0,0.55
E0011,CAISO_PHEV_BALANCED,2026-01-01 10:00:00,0.5,0.55
E0012,CAISO_PHEV_BALANCED,2026-01-01 11:00:00,0.5,0.55
E0013,CAISO_PHEV_BALANCED,2026-01-01 12:00:00,2.0,0.55
E0014,CAISO_PHEV_BALANCED,2026-01-01 13:00:00,2.0,0.55
E0015,CAISO_PHEV_BALANCED,2026-01-01 14:00:00,2.0,0.55
E0016,CAISO_PHEV_BALANCED,2026-01-01 15:00:00,0.5,0.55
E0017,CAISO_PHEV_BALANCED,2026-01-01 16:00:00,8.0,0.55
E0018,CAISO_PHEV_BALANCED,2026-01-01 17:00:00,8.0,0.55
E0019,CAISO_PHEV_BALANCED,2026-01-01 18:00:00,8.0,0.55
E0020,CAISO_PHEV_BALANCED,2026-01-01 19:00:00,8.0,0.55
E0021,CAISO_PHEV_BALANCED,2026-01-01 20:00:00,0.5,0.55
E0022,CAISO_PHEV_BALANCED,2026-01-01 21:00:00,0.5,0.55
E0023,CAISO_PHEV_BALANCED,2026-01-01 22:00:00,0.5,0.55
E0024,CAISO_PHEV_BALANCED,2026-01-01 23:00:00,0.5,0.55
E0025,CAISO_PHEV_BALANCED,2026-01-02 00:00:00,0.5,0.55
E0026,CAISO_PHEV_BALANCED,2026-01-02 01:00:00,0.5,0.55
E0027,CAISO_PHEV_BALANCED,2026-01-02 02:00:00,0.5,0.55
E0028,CAISO_PHEV_BALANCED,2026-01-02 03:00:00,0.5,0.55
E0029,CAISO_PHEV_BALANCED,2026-01-02 04:00:00,0.5,0.55
E0030,CAISO_PHEV_BALANCED,2026-01-02 05:00:00,0.5,0.55
E0031,CAISO_PHEV_BALANCED,2026-01-02 06:00:00,0.5,0.55
E0032,CAISO_PHEV_BALANCED,2026-01-02 07:00:00,8.0,0.55
E0033,CAISO_PHEV_BALANCED,2026-01-02 08:00:00,8.0,0.55
E0034,CAISO_PHEV_BALANCED,2026-01-02 09:00:00,8.0,0.55
E0035,CAISO_PHEV_BALANCED,2026-01-02 10:00:00,0.5,0.55
E0036,CAISO_PHEV_BALANCED,2026-01-02 11:00:00,0.5,0.55
E0037,CAISO_PHEV_BALANCED,2026-01-02 12:00:00,2.0,0.55
E0038,CAISO_PHEV_BALANCED,2026-01-02 13:00:00,2.0,0.55
E0039,CAISO_PHEV_BALANCED,2026-01-02 14:00:00,2.0,0.55
E0040,CAISO_PHEV_BALANCED,2026-01-02 15:00:00,0.5,0.55
E0041,CAISO_PHEV_BALANCED,2026-01-02 16:00:00,8.0,0.55
